category,component,usage_percentage
Video Card Description,NVIDIA GeForce RTX 2060,1.84%
Video Card Description,AMD Radeon RX 550,0.21%
Video Card Description,NVIDIA GeForce RTX 5060 Laptop GPU,0.85%
Video Card Description,AMD Radeon Vega 8 Graphics,0.35%
Video Card Description,NVIDIA GeForce GTX 1060,1.68%
Video Card Description,NVIDIA GeForce RTX 4080 Laptop GPU,0.19%
Video Card Description,AMD Radeon RX 6600,0.84%
Video Card Description,Intel UHD Graphics 630,0.28%
Video Card Description,NVIDIA GeForce RTX 4050 Laptop GPU,1.47%
Video Card Description,AMD Radeon Vega 3 Graphics,0.19%
Video Card Description,NVIDIA GeForce RTX 2060 SUPER,0.79%
Video Card Description,NVIDIA GeForce RTX 3090,0.41%
Video Card Description,NVIDIA GeForce GTX 1650,2.63%
Video Card Description,AMD Radeon RX 570,0.38%
Video Card Description,NVIDIA GeForce RTX 4090,0.76%
Video Card Description,AMD Radeon Graphics,1.85%
Video Card Description,NVIDIA GeForce RTX 2070 SUPER,0.77%
Video Card Description,NVIDIA GeForce GTX 1080 Ti,0.35%
Video Card Description,NVIDIA GeForce RTX 3080,1.50%
Video Card Description,AMD Radeon RX 6700 XT,0.57%
Video Card Description,NVIDIA GeForce RTX 4080 SUPER,0.68%
Video Card Description,NVIDIA GeForce RTX 3070 Laptop GPU,0.47%
Video Card Description,NVIDIA GeForce RTX 4070 Ti SUPER,0.78%
Video Card Description,NVIDIA GeForce RTX 2070,0.50%
Video Card Description,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0.66%
Video Card Description,AMD Radeon RX 6650 XT,0.27%
Video Card Description,Intel Iris Xe Graphics,1.71%
Video Card Description,NVIDIA GeForce RTX 2080 SUPER,0.29%
Video Card Description,NVIDIA GeForce GTX 1070,0.69%
Video Card Description,AMD Radeon RX 6800 XT,0.24%
Video Card Description,NVIDIA GeForce RTX 4070 Laptop GPU,0.99%
Video Card Description,NVIDIA GeForce GT 1030,0.23%
Video Card Description,NVIDIA GeForce RTX 3080 Ti,0.58%
Video Card Description,NVIDIA GeForce RTX 3050 Laptop GPU,0.38%
Video Card Description,AMD Radeon RX 580,0.58%
Video Card Description,NVIDIA GeForce GTX 970,0.22%
Video Card Description,NVIDIA GeForce RTX 4080,0.67%
Video Card Description,NVIDIA GeForce RTX 2080 Ti,0.25%
Video Card Description,AMD Radeon RX 580 2048SP,0.57%
Video Card Description,AMD Radeon RX 6500 XT,0.19%
Video Card Description,AMD Radeon(TM) Graphics,2.15%
Video Card Description,NVIDIA GeForce GTX 750 Ti,0.19%
Video Card Description,NVIDIA GeForce GTX 1660 Ti,0.95%
Video Card Description,Intel HD Graphics 620,0.21%
Video Card Description,NVIDIA Graphics Device,1.21%
Video Card Description,NVIDIA GeForce RTX 2080,0.25%
Video Card Description,NVIDIA GeForce GTX 1660,0.50%
Video Card Description,AMD Raphael,0.16%
Video Card Description,AMD Radeon RX 7600 XT,0.59%
Video Card Description,NVIDIA GeForce RTX 5070 Ti Laptop GPU,0.27%
Video Card Description,AMD Radeon RX 7900 XTX,0.48%
Video Card Description,AMD Radeon RX 6900 XT,0.17%
Video Card Description,NVIDIA GeForce GTX 1080,0.45%
Video Card Description,AMD Radeon (TM) Graphics,0.38%
Video Card Description,AMD AMD Custom GPU 0405,0.41%
Video Card Description,NVIDIA GeForce GT 730,0.16%
Video Card Description,AMD Radeon RX 5700 XT,0.57%
Video Card Description,Intel(R) Graphics,0.28%
Video Card Description,AMD Radeon Graphics (RADV VANGOGH),0.40%
Video Card Description,NVIDIA GeForce RTX 4060,4.16%
Video Card Description,Other,9.33%
VRAM,512 MB,4.27%
VRAM,1 GB,3.46%
VRAM,2 GB,5.37%
VRAM,3 GB,1.34%
VRAM,4 GB,6.71%
VRAM,6 GB,9.26%
VRAM,8 GB,29.57%
VRAM,10 GB,2.11%
VRAM,11 GB,1.20%
VRAM,12 GB,15.07%
VRAM,16 GB,14.55%
VRAM,20 GB,0.64%
VRAM,24 GB,3.85%
VRAM,32 GB,0.87%
VRAM,Other,1.72%
Primary Display Resolution,800 x 1280,0.51%
Primary Display Resolution,1280 x 720,0.21%
Primary Display Resolution,1280 x 1024,0.22%
Primary Display Resolution,1280 x 800,0.36%
Primary Display Resolution,1360 x 768,0.44%
Primary Display Resolution,1366 x 768,2.37%
Primary Display Resolution,1440 x 900,0.79%
