app_id,game_name,os,processor,memory,graphics,directx,storage
3513350,Wuthering Waves,Windows10 64-bit,Intel Core i7 (9th Gen) / Ryzen 3700,16 GB RAM,"NVIDIA GeForce RTX 2060/AMD Radeon RX 5700XT/intel ARC A750
Network:
Broadband Internet connection",,60 GB available space
3656800,Train Sim World® 6,64-bit Windows 10 or Windows 11,Intel Core i5-9600K @ 3.7 GHz or AMD Ryzen 5 3600 @ 3.6 GHz,16 GB RAM,NVIDIA GeForce RTX 2060 6 GB or AMD Radeon RX 5700 with 8 GB VRAM or more,"Version 10
Network:
Broadband Internet connection",35 GB available space
2799860,INAZUMA ELEVEN: Victory Road,Windows 11 64bit,Intel Core i5-10400 / AMD Ryzen 5 3600,16 GB RAM,NVIDIA GeForce GTX 1060(6GB) /AMD Radeon RX570(4GB),"Version 11
Network:
Broadband Internet connection",75 GB available space
1812450,Bellwright,Windows 10 / Windows 11,Intel Core i5 13600 / AMD Ryzen 5 5600,16 GB RAM,NVIDIA GeForce RTX 3060 12GB / AMD Radeon RX 6600 8GB / Intel ARC A770 16GB,Version 12,24 GB available space
227300,Euro Truck Simulator 2,Windows 10 64-bit,Intel Core i5-9600 or AMD Ryzen 5 3600 or similar,12 GB RAM,"NVIDIA GeForce GTX 1660 or AMD Radeon RX 590 (2GB VRAM)
Hard Drive:
25 GB available space (Euro Truck Simulator 2 base game)",,25 GB available space (Euro Truck Simulator 2 base game)
216150,MapleStory,Windows 10 (64 bit) or later,Intel® Core™ i3 @ 4.0GHz or AMD Ryzen™ 3 @ 3.5GHz or higher,8 GB RAM or more,"GeForce® GTX 1050 or AMD Radeon™ RX 570 and above
Hard Drive:
50 GB or more available SSD space","®:
Version 11.0 or higher
Network:
Fiber-optic internet","50 GB or more available SSD space
DirectX®:
Version 11.0 or higher
Network:
Fiber-optic internet"
1774580,STAR WARS Jedi: Survivor™,Windows 10 64-bit,4 core / 8 threads  |  Intel Core i5 11600K  |  Ryzen 5 5600X,16 GB RAM,8GB VRAM |  RTX2070  |  RX 6700 XT,"Version 12
Network:
Broadband Internet connection",155 GB available space
632360,Risk of Rain 2,"*:
Windows 7 or newer, 64-bit",Intel Core i5-4670K / AMD Ryzen 5 1500X,4 GB RAM,GTX 680 / AMD HD 7970,"Version 11
Network:
Broadband Internet connection",4 GB available space
2001120,Split Fiction,64 bit Windows 10/11,Intel Core i7-11700k or AMD Ryzen 7 5800X,16 GB RAM,NVIDIA GeForce RTX 3070 - 8GB or AMD Radeon 6700 XT - 12GB,"Version 12
Network:
Broadband Internet connection",85 GB available space
3527290,PEAK,Win 11,Intel Core i5 @ 3.0 GHz or AMD Ryzen 5 or equivalent,16 GB RAM,RTX 2060 or RX 7600xt or equivalent,Version 12,6 GB available space
3240220,Grand Theft Auto V Enhanced,Windows 11,Intel® Core™ i5-9600K | AMD Ryzen™ 5 3600,16 GB RAM,NVIDIA GeForce® RTX 3060 (8GB VRAM) | AMD Radeon™ RX 6600XT (8GB VRAM),,105 GB available space
1144200,Ready or Not,"64-bit Windows 10, 64-bit Windows 11",AMD Ryzen 5-1600 / Intel Core i5-7600K,8 GB RAM,Nvidia GTX 1060 6GB or better,Version 11,60 GB available space
2852190,Monster Hunter Stories 3: Twisted Reflection,Windows®11 (64-bit Required),Intel® Core™ i5-10400 or AMD Ryzen™ 5 3600,16 GB RAM,NVIDIA GeForce RTX 2060 Super(VRAM 8GB) or AMD Radeon RX 5700 XT(VRAM 8GB),"Version 12
Network:
Broadband Internet connection",50 GB available space
3008130,Dying Light: The Beast,Windows 10 or newer,Intel i5-13400F / AMD Ryzen 7 7700,16 GB RAM,NVIDIA GeForce RTX 3070 TI / AMD Radeon 6750 XT / Intel ARC B580,,70 GB available space
990080,Hogwarts Legacy,64-bit Windows 10,Intel Core i7-8700 (3.2Ghz) or AMD Ryzen 5 3600 (3.6 Ghz),16 GB RAM,NVIDIA GeForce 1080 Ti or AMD Radeon RX 5700 XT or INTEL Arc A770,Version 12,85 GB available space
815370,Green Hell,"*:
Windows 7/8/10 64-bit",3.2 GHz Dual Core Processor,8 GB RAM,"GeForce 970, Radeon RX 580 or equivalent with 4GB of video RAM",Version 11,8 GB available space
3321460,Crimson Desert,Windows 10 64-bit,Ryzen 5 5600 / i5-11600K,16 GB RAM,RX 6700 XT / RTX 2080,Version 12,135 GB available space
