index,category,component,usage_percentage
304,Free Hard Drive Space,10 GB to  99 GB,15.07%
44,Intel CPU Speeds,2.7 Ghz to 2.99 Ghz,8.68%
285,Language,Russian,10.12%
249,Multi-Monitor Desktop Resolution,4480 x 1440,27.14%
2,OS Version,Windows 10 64 bit,27.79%
361,Other Settings,SSE3,98.49%
51,Physical CPUs,4 cpus,13.43%
223,Primary Display Resolution,3840 x 2160,4.95%
26,System RAM,8 GB,7.78%
317,Total Hard Drive Space,250 GB to 499 GB,16.90%
323,VR Headsets,Meta Quest 3S,12.29%
200,VRAM,16 GB,14.55%
114,Video Card Description,NVIDIA GeForce RTX 3060,4.11%
