index,category,component,usage_percentage
305,Free Hard Drive Space,100 GB to 249 GB,22.59%
43,Intel CPU Speeds,2.3 Ghz to 2.69 Ghz,20.89%
301,Language,English,37.01%
271,Multi-Monitor Desktop Resolution,Other,51.06%
0,OS Version,Windows,94.62%
352,Other Settings,SSE2,98.49%
53,Physical CPUs,6 cpus,28.45%
217,Primary Display Resolution,1920 x 1080,52.59%
28,System RAM,16 GB,40.24%
320,Total Hard Drive Space,Above 1 TB,52.33%
321,VR Headsets,Meta Quest 3,28.17%
196,VRAM,8 GB,29.57%
189,Video Card Description,Other,9.33%
